,"('A', 'B')","('A', 'C')","('A', 'D')","('B', 'C')","('B', 'D')","('C', 'D')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'C', 'D')","('B', 'C', 'D')","('A', 'B', 'C', 'D')"
RRF,0.6436,0.6977,0.6841,0.6841,0.6876,0.7159,0.6789,0.682,0.7142,0.7073,0.7052
Borda,0.6411,0.6922,0.6825,0.6833,0.6898,0.7205,0.6792,0.6779,0.7121,0.7079,0.7002
My_method1,0.6448,0.699,0.6873,0.6913,0.689,0.7171,0.6824,0.6832,0.7164,0.7093,0.7082
My_method2,0.6453,0.695,0.6916,0.6834,0.6815,0.7069,0.6769,0.6801,0.71,0.7,0.7009
AGG_RRF,0.6458,0.6981,0.6841,0.6869,0.6877,0.7181,0.6788,0.6814,0.7142,0.7072,0.7052
AGG_Borda,0.6472,0.6975,0.6847,0.6868,0.6895,0.7184,0.6779,0.682,0.715,0.7077,0.7057
