,"('A', 'B')","('A', 'C')","('A', 'D')","('B', 'C')","('B', 'D')","('C', 'D')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'C', 'D')","('B', 'C', 'D')","('A', 'B', 'C', 'D')",A,B
RRF,0.6135,0.6461,0.6399,0.645,0.6408,0.6732,0.6427,0.6399,0.6669,0.6637,0.6613,,
Borda,0.6114,0.6454,0.6394,0.6418,0.6392,0.6752,0.6414,0.6377,0.6652,0.662,0.6594,,
My_method1,0.6156,0.6546,0.6462,0.649,0.6446,0.6741,0.6445,0.6429,0.6671,0.6694,0.6593,,
AGG_my_1,,,,,,,,,,,,,
AGG_Borda,0.6132,0.65,0.6423,0.6463,0.6422,0.6749,0.6403,0.641,0.6665,0.6656,0.6589,,
My_method2,,0.652,0.6475,0.6481,0.6449,0.6711,0.6425,0.6412,0.6642,0.6627,0.6578,0.6142,0.6142
AGG_RRF,,0.6502,0.6427,0.6463,0.6428,0.6751,0.6407,0.6403,0.6667,0.6656,0.6577,0.613,0.613
