,"('A', 'B')","('A', 'C')","('A', 'D')","('B', 'C')","('B', 'D')","('C', 'D')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'C', 'D')","('B', 'C', 'D')","('A', 'B', 'C', 'D')",A,B
RRF,0.5504,0.5658,0.5616,0.5619,0.5625,0.5741,0.5614,0.5622,0.572,0.5705,0.5688,,
Borda,0.5502,0.5651,0.561,0.5619,0.5622,0.5745,0.561,0.561,0.5711,0.5697,0.5677,,
My_method1,0.5507,0.5657,0.5621,0.5622,0.5623,0.5742,0.5619,0.5622,0.5719,0.5724,0.5684,,
AGG_my_1,,,,,,,,,,,,,
AGG_Borda,0.5504,0.5658,0.5616,0.5619,0.5624,0.5741,0.5614,0.5622,0.572,0.5706,0.5688,,
AGG_RRF,,0.5657,0.5616,0.5619,0.5625,0.5741,0.5614,0.5622,0.5721,0.5705,0.5688,0.5503,0.5503
