,"('A', 'B')","('A', 'C')","('A', 'D')","('B', 'C')","('B', 'D')","('C', 'D')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'C', 'D')","('B', 'C', 'D')","('A', 'B', 'C', 'D')",A,B
RRF,0.7096,0.7234,0.7245,0.7205,0.7204,0.7283,0.719,0.722,0.7275,0.7254,0.7245,,
Borda,0.7102,0.7228,0.7243,0.7196,0.7205,0.728,0.7172,0.72,0.7258,0.7244,0.7243,,
My_method1,0.7102,0.7235,0.7243,0.7205,0.7204,0.7281,0.7203,0.7223,0.7278,0.726,0.7252,,
AGG_my_1,,,,,,,,,,,,,
AGG_Borda,0.7098,0.7233,0.7245,0.7205,0.7204,0.7283,0.7189,0.722,0.7275,0.7254,0.7246,,
AGG_RRF,,0.7233,0.7245,0.7204,0.7204,0.7282,0.7189,0.7219,0.7276,0.7255,0.7246,0.71,0.71
