,"('A', 'B')","('A', 'C')","('A', 'D')","('B', 'C')","('B', 'D')","('C', 'D')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'C', 'D')","('B', 'C', 'D')","('A', 'B', 'C', 'D')",A,B
RRF,0.7848,0.8168,0.8227,0.8064,0.8153,0.8382,0.8079,0.8156,0.8361,0.831,0.825,,
Borda,0.7838,0.8099,0.8207,0.8083,0.812,0.8437,0.8036,0.8109,0.8315,0.8269,0.8254,,
My_method1,0.7885,0.8168,0.8238,0.8061,0.811,0.8369,0.8113,0.8153,0.838,0.8344,0.83,,
AGG_my_1,,,,,,,,,,,,,
AGG_Borda,0.7882,0.8189,0.8202,0.8042,0.8148,0.8379,0.8096,0.8158,0.8359,0.8332,0.8263,,
My_method2,,0.8218,0.8218,0.804,0.8097,0.8332,0.8121,0.8182,0.8346,0.8301,0.8236,0.7943,0.7943
AGG_RRF,,0.8183,0.8195,0.8036,0.8149,0.838,0.8089,0.8161,0.8358,0.834,0.8257,0.789,0.789
