,"('A', 'B')","('A', 'C')","('A', 'D')","('B', 'C')","('B', 'D')","('C', 'D')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'C', 'D')","('B', 'C', 'D')","('A', 'B', 'C', 'D')"
RRF,0.8329,0.8774,0.8806,0.874,0.8674,0.9017,0.8611,0.8678,0.8904,0.8902,0.8765
Borda,0.833,0.8754,0.8788,0.8697,0.8666,0.8966,0.8553,0.8586,0.8878,0.8874,0.8747
My_method1,0.8267,0.8753,0.8791,0.8715,0.8686,0.8984,0.8665,0.8717,0.8927,0.8924,0.8839
My_method2,0.8475,0.8867,0.8789,0.8707,0.8601,0.884,0.8706,0.879,0.8957,0.8847,0.8937
AGG_RRF,0.8325,0.8777,0.8793,0.8758,0.8655,0.8991,0.8606,0.8672,0.8932,0.8943,0.8779
AGG_Borda,0.8317,0.8777,0.8806,0.876,0.8655,0.8991,0.8606,0.8679,0.8932,0.893,0.8779
