,"('A', 'B')","('A', 'C')","('A', 'D')","('B', 'C')","('B', 'D')","('C', 'D')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'C', 'D')","('B', 'C', 'D')","('A', 'B', 'C', 'D')",A,B
RRF,0.7096,0.7234,0.7245,0.7205,0.7204,0.7283,0.719,0.722,0.7275,0.7254,0.7245,,
Borda,0.7102,0.7228,0.7243,0.7196,0.7205,0.728,0.7172,0.72,0.7258,0.7244,0.7243,,
My_method1,0.7094,0.7223,0.7241,0.7206,0.7205,0.7275,0.7189,0.7222,0.7265,0.7253,0.7245,,
AGG_my_1,,,,,,,,,,,,,
AGG_Borda,0.7099,0.7232,0.7246,0.7206,0.7203,0.7283,0.7188,0.7223,0.7267,0.7255,0.7245,,
AGG_RRF,,0.7233,0.7246,0.7205,0.7203,0.7283,0.7188,0.7223,0.7267,0.7255,0.7245,0.7099,0.7099
