,"('A', 'B')","('A', 'C')","('A', 'D')","('B', 'C')","('B', 'D')","('C', 'D')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'C', 'D')","('B', 'C', 'D')","('A', 'B', 'C', 'D')",A,B
RRF,0.4721,0.4802,0.4864,0.4751,0.4811,0.4879,0.4768,0.4925,0.4907,0.4806,0.4896,,
Borda,0.4688,0.47,0.4767,0.4741,0.4723,0.4873,0.4762,0.4891,0.4888,0.4788,0.4875,,
My_method1,0.4727,0.4812,0.4902,0.4782,0.4825,0.485,0.4819,0.4907,0.4919,0.4844,0.493,,
AGG_my_1,,,,,,,,,,,,,
AGG_Borda,0.472,0.4811,0.4881,0.476,0.479,0.4855,0.4785,0.493,0.4905,0.4818,0.4878,,
My_method2,,0.4833,0.4877,0.4755,0.4768,0.4854,0.4833,0.4839,0.4961,0.4855,0.4891,0.4706,0.4706
AGG_RRF,,0.4819,0.4882,0.4761,0.4791,0.4857,0.477,0.4929,0.4906,0.4818,0.4896,0.4721,0.4721
