,"('A', 'B')","('A', 'C')","('A', 'D')","('B', 'C')","('B', 'D')","('C', 'D')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'C', 'D')","('B', 'C', 'D')","('A', 'B', 'C', 'D')"
RRF,0.5011,0.4973,0.5132,0.4961,0.5064,0.5217,0.5012,0.5111,0.5067,0.508,0.5153
Borda,0.5007,0.496,0.5061,0.4977,0.5022,0.516,0.5023,0.5144,0.5052,0.5073,0.5142
My_method1,0.4948,0.4998,0.511,0.4982,0.5065,0.5179,0.5025,0.5089,0.5046,0.5117,0.5196
My_method2,0.4881,0.5107,0.5139,0.4931,0.503,0.5235,0.4904,0.5047,0.5223,0.5107,0.51
AGG_RRF,0.496,0.4999,0.5146,0.4967,0.5035,0.5189,0.5003,0.5058,0.5075,0.5081,0.5118
AGG_Borda,0.496,0.4975,0.5123,0.4945,0.5035,0.5187,0.5006,0.5098,0.5082,0.5086,0.5119
