,"('A', 'B')","('A', 'C')","('A', 'D')","('B', 'C')","('B', 'D')","('C', 'D')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'C', 'D')","('B', 'C', 'D')","('A', 'B', 'C', 'D')",A,B
RRF,0.4341,0.436,0.4377,0.4375,0.437,0.4409,0.4359,0.4408,0.4399,0.4375,0.4403,,
Borda,0.4339,0.434,0.4356,0.4368,0.4353,0.4381,0.4362,0.4411,0.4382,0.4377,0.4395,,
My_method1,0.4337,0.4359,0.4391,0.4377,0.4368,0.4404,0.4361,0.4405,0.4392,0.4378,0.4409,,
AGG_my_1,,,,,,,,,,,,,
AGG_Borda,0.434,0.4359,0.4377,0.4375,0.437,0.4409,0.436,0.4408,0.4399,0.4373,0.44,,
AGG_RRF,,0.4358,0.4379,0.4375,0.437,0.4409,0.4359,0.4408,0.44,0.4373,0.4401,0.4341,0.4341
