,"('A', 'B')","('A', 'C')","('A', 'D')","('B', 'C')","('B', 'D')","('C', 'D')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'C', 'D')","('B', 'C', 'D')","('A', 'B', 'C', 'D')",A,B
RRF,0.4341,0.436,0.4377,0.4375,0.437,0.4409,0.4359,0.4408,0.4399,0.4375,0.4403,,
Borda,0.4339,0.434,0.4356,0.4368,0.4353,0.4381,0.4362,0.4411,0.4382,0.4377,0.4395,,
My_method1,0.434,0.436,0.434,0.4376,0.4365,0.4412,0.4367,0.4408,0.4406,0.4384,0.4402,,
AGG_my_1,,,,,,,,,,,,,
AGG_Borda,0.4341,0.4357,0.4375,0.4373,0.4365,0.4409,0.4357,0.4409,0.4397,0.4371,0.4401,,
AGG_RRF,,0.4357,0.4374,0.4374,0.4365,0.4409,0.4356,0.4409,0.4397,0.4371,0.4401,0.4341,0.4341
